,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
484,31,14,Óbuda,36,1023,Budapest,Lajos utca,30,,POINT (47.5272 19.0383),Lajos utca 30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5271429,19.0380644,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,5051943838,OSM_object_type.node,7,0,2021-06-20 09:04:48,"{'addr:postcode': '1023', 'bic': 'BUDAHUHB', 'addr:street': 'Lajos utca', 'contact:website': 'https://www.budapestbank.hu', 'source:www.budapestbank.hu:date': '2020-09-28', 'addr:suburb': 'Újlak', 'website': 'https://www.budapestbank.hu/fiokkereso', 'branch': 'Óbudai Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'amenity': 'bank', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '30', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikipedia': 'en:Budapest Bank', 'contact:phone': '+36 1 477 7777', 'brand': 'Budapest Bank'}",,0,
485,91,14,Mammut,37,1024,Budapest,Lövőház utca,2-6,,POINT (47.5086 19.0272),Lövőház utca 2-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5087419,19.0271362,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,6760370780,OSM_object_type.node,4,0,2020-09-29 12:57:20,"{'addr:postcode': '1024', 'bic': 'BUDAHUHB', 'addr:street': 'Lövőház utca', 'contact:website': 'https://www.budapestbank.hu', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Mammut 1', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 09:00-18:00; Tu-Th 09:00-17:00; Fr 09:00-16:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'same', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '2-6', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank'}",,0,
486,21,14,Budagyöngye,39,1026,Budapest,Pázsit utca,2,,POINT (47.5161 19.0002),Pázsit utca 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5161565,19.0001274,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,339285927,OSM_object_type.node,6,0,2020-09-29 12:57:20,"{'addr:postcode': '1026', 'bic': 'BUDAHUHB', 'addr:street': 'Pázsit utca', 'contact:website': 'https://www.budapestbank.hu', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Budagyöngye Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 8:30-18:00; Tu-Th 8:30-16:30; Fr 8:30-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'same', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '2', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'name:it': 'Budapest', 'amenity': 'bank', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank'}",,0,
487,32,14,Békásmegyer,51,1039,Budapest,Heltai Jenő tér,15,,POINT (47.5973 19.056),Heltai Jenő tér 15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5972869,19.0560065,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,1242924500,OSM_object_type.node,5,0,2020-09-29 12:57:20,"{'addr:postcode': '1039', 'bic': 'BUDAHUHB', 'addr:street': 'Heltai Jenő tér', 'contact:website': 'https://www.budapestbank.hu', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Békásmegyeri Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'same', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '15', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'name:it': 'Heltai', 'amenity': 'bank', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank'}",,0,
488,8,14,Újpest,53,1042,Budapest,Árpád út,57-59,,POINT (47.5606 19.088),Árpád út 57-59. Fszt. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5604416,19.0879312,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,3117983111,OSM_object_type.node,5,0,2020-09-29 12:57:20,"{'addr:postcode': '1042', 'bic': 'BUDAHUHB', 'addr:street': 'Árpád út', 'contact:website': 'https://www.budapestbank.hu', 'wheelchair': 'yes', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Újpesti Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'same', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '57-59', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank'}",,0,
489,11,14,Lipótváros,63,1055,Budapest,Kossuth Lajos tér,10,,POINT (47.5058 19.048),Kossuth Lajos tér 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5055788,19.0475877,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,4118559795,OSM_object_type.node,5,0,2020-09-29 12:57:20,"{'addr:postcode': '1055', 'bic': 'BUDAHUHB', 'addr:street': 'Kossuth Lajos tér', 'contact:website': 'https://www.budapestbank.hu', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Lipótvárosi Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'same', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'addr:housenumber': '10', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'level': '0', 'air_conditioning': 'yes', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank', 'ref:HU:company': '01 10 041037'}",,0,
490,1,14,Belváros,70,1065,Budapest,Bajcsy-Zsilinszky út,5,,POINT (47.4986 19.0551),Bajcsy-Zsilinszky út 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4985831,19.0550602,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,1981759042,OSM_object_type.node,13,0,2021-10-13 14:57:21,"{'addr:postcode': '1065', 'bic': 'BUDAHUHB', 'addr:street': 'Bajcsy-Zsilinszky út', 'contact:website': 'https://www.budapestbank.hu', 'wheelchair': 'limited', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Belvárosi Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'drive_through': 'no', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'amenity': 'bank', 'addr:housenumber': '5', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'name:it': 'Budapest', 'brand:wikipedia': 'en:Budapest Bank', 'brand': 'Budapest Bank'}",,0,
491,53,14,EMKE,75,1072,Budapest,Rákóczi út,42,,POINT (47.4969 19.0691),Rákóczi út 42.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4969091,19.0691497,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,1160266696,OSM_object_type.node,10,0,2020-09-29 12:57:20,"{'addr:postcode': '1072', 'bic': 'BUDAHUHB', 'addr:street': 'Rákóczi út', 'contact:website': 'https://www.budapestbank.hu', 'wheelchair': 'limited', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'EMKE Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'same', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '42', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank'}",,0,
492,71,14,József krt,86,1085,Budapest,József körút,36,,POINT (47.4921 19.0712),József körút 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4920542,19.0713124,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,4745074012,OSM_object_type.node,7,0,2021-01-05 21:07:17,"{'addr:postcode': '1085', 'bic': 'BUDAHUHB', 'addr:street': 'József körút', 'contact:website': 'https://www.budapestbank.hu', 'wheelchair': 'yes', 'ref:vatin': 'HU10196445', 'branch': 'József körúti Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo-Th 08:00-16:00; Fr 08:00-12:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'source:date': '2020-09-28', 'addr:housenumber': '36', 'source': 'website', 'atm': 'yes', 'level': '0', 'air_conditioning': 'yes', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank', 'ref:HU:company': '01 10 041037'}",,0,
493,10,14,Kőbánya,100,1102,Budapest,Kőrösi Cs. sétány,4,,POINT (47.484 19.1297),Kőrösi Cs. sétány 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4838338,19.1295427,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,6362854252,OSM_object_type.node,6,0,2020-09-29 12:57:20,"{'addr:postcode': '1102', 'bic': 'BUDAHUHB', 'addr:street': 'Kőrösi Csoma sétány', 'contact:website': 'https://www.budapestbank.hu', 'source:www.budapestbank.hu:date': '2020-09-28', 'branch': 'Kőbányai Fiók', 'ref:vatin:hu': '10196445-4-44', 'addr:city': 'Budapest', 'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'brand:wikidata': 'Q27493463', 'name': 'Budapest Bank', 'opening_hours:covid19': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'addr:housenumber': '4', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'amenity': 'bank', 'contact:phone': '+36 1 477 7777', 'brand': 'Budapest Bank', 'brand:wikipedia': 'en:Budapest Bank'}",,21.93750827,
