,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
757,3909,5,,,28.0,1021,Budapest,Budakeszi út,45,,POINT (47.51842 18.98261),"1021 Budapest, Budakeszi út 45.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51894645,18.984697965341567,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,240174303,OSM_object_type.way,5,0,2022-04-10 08:10:43.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '45', 'addr:postcode': '1021', 'addr:street': 'Budakeszi út', 'amenity': 'fire_station', 'building': 'yes', 'name': 'Fővárosi Tűzoltó-parancsnokság I-II-XII. Kerületi Parancsnokság'}","[2479323257, 2479323262, 9655402631, 2479323265, 9655402632, 9655402645, 2479323271, 2479323257]",0,False
758,3912,5,,,41.0,1035,Budapest,Vihar utca,3,,POINT (47.54505 19.03673),"1035 Budapest, Vihar utca 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.54505,19.03673,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-03-07 20:36:30.426793,,,,True
759,3914,5,,,51.0,1046,Budapest,Szent László tér,1,,POINT (47.56701 19.09564),"1046 Budapest, Szt. László tér 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56744495,19.096535708166535,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,120412661,OSM_object_type.way,3,0,2021-04-13 20:02:46.000000,"{'amenity': 'fire_station', 'building': 'yes', 'name': 'Tűzoltóság', 'source': 'Bing'}","[1350208919, 1350208913, 1350208925, 1350208921, 1350208923, 1350208917, 1350208920, 1350208909, 8626991890, 8626991891, 1350208914, 1350208922, 1350208919]",44.09699453,False
760,3915,5,,,76.0,1081,Budapest,Dologház utca,3,,POINT (47.49577 19.08065),"1081 Budapest, Dologház utca 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.49571975,19.081747038060804,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,132655086,OSM_object_type.way,5,0,2015-12-23 19:16:36.000000,"{'addr:city': 'Budapest', 'addr:country': 'HU', 'addr:housenumber': '1', 'addr:postcode': '1081', 'addr:street': 'Dologház utca', 'amenity': 'fire_station', 'name': 'Fővárosi Katasztrófavédelmi Igazgatóság'}","[967925717, 1459175487, 1459175534, 967925738, 1459175508, 2537894370, 2537894361, 2537894378, 2537894382, 2537894388, 1459175515, 2538607164, 967925743, 967925717]",10.94432185,False
761,3917,5,,,91.0,1097,Budapest,Vágóhíd utca,13,,POINT (47.47438 19.08289),"1097 Budapest, Vágóhíd utca 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4738452,19.0838119,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,961537269,OSM_object_type.node,2,0,2018-06-01 19:34:28.000000,"{'amenity': 'fire_station', 'name': 'IX. ker. tűzoltó-parancsnokság'}",,91.30914391,False
762,3919,5,,,95.0,1103,Budapest,Martinovics tér,12,,POINT (47.4814 19.13209),"1103 Budapest, Martinovics tér 12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4812631,19.1335635,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,5095818878,OSM_object_type.node,3,0,2018-06-01 19:34:42.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '12', 'addr:postcode': '1105', 'addr:street': 'Martinovics tér', 'amenity': 'fire_station', 'name': 'Kőbányai Tűzoltó-parancsnokság'}",,0,False
763,3921,5,,,103.0,1113,Budapest,Tas vezér utca,9,,POINT (47.47676 19.03798),"1113 Budapest, Tas vezér utca 9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47696965,19.03874688388309,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,1115267459,OSM_object_type.way,1,0,2022-11-18 16:15:43.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '9', 'addr:postcode': '1113', 'addr:street': 'Tas vezér utca', 'amenity': 'fire_station', 'building': 'fire_station', 'height': '6', 'name': 'Fővárosi Tűzoltó-parancsnokság Budai Parancsnokság és Újbudai Tűzőrség', 'roof:shape': 'flat', 'source:start_date': 'https://budapest100.hu/house/tas-vezer-ut-9/', 'start_date': '1939'}","[2582474182, 10199931958, 2582474175, 2582474239, 10199931963, 10199931957, 2582474265, 2582474269, 10199931964, 2582474259, 2582474261, 6440680274, 2582474253, 2582474247, 2582474242, 2582474236, 2582474233, 2582474182]",0,False
764,3924,5,,,116.0,1135,Budapest,Zsinór utca,8-12,,POINT (47.53635 19.08342),"1131 Budapest, Zsinór utca 8-12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.53635,19.08342,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-03-07 20:36:30.426793,,,,True
765,3926,5,,,133.0,1149,Budapest,Egressy út,114-116,,POINT (47.51445 19.11879),"1149 Budapest, Egressy út 114-116.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51445,19.11879,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-03-07 20:36:30.426793,,,,True
766,3929,5,,,149.0,1173,Budapest,Bakancsos utca,1,,POINT (47.48148 19.24404),"1173 Budapest, Bakancsos utca 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4815058,19.2448295,2023-03-06 20:11:37.138864+00:00,,,5,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,803243407,OSM_object_type.node,3,0,2018-06-02 12:09:01.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '1', 'addr:postcode': '1173', 'addr:street': 'Bakancsos utca', 'amenity': 'fire_station', 'name': 'XVII. Kerületi Hivatásos Tűzoltó-parancsnokság', 'operator': 'Fővárosi Katasztrófavédelmi Igazgatóság'}",,0,False
