,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
8886,3736,28,Csatárka Gyógyszertár,,32.0,1025,Budapest,Csatárka út,51,,POINT (47.53036 19.009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.53033415,19.0090464,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,199166788,OSM_object_type.way,9,0,2022-05-06 16:14:38.000000,"{'addr:city': 'Budapest', 'addr:country': 'HU', 'addr:housenumber': '51', 'addr:postcode': '1025', 'addr:street': 'Csatárka út', 'amenity': 'pharmacy', 'brand': 'Szimpatika', 'brand:wikidata': 'Q105626428', 'building': 'retail', 'contact:phone': '+36 1 325 8832', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Csatárka Gyógyszertár', 'opening_hours': 'Mo-Fr 08:30-20:00'}","[2091995166, 2091995167, 2091995165, 2091995168, 2091995166]",0,False
8887,3797,28,Glória Gyógyszertár,,34.0,1027,Budapest,Margit körút,54,,POINT (47.5106 19.03148),,,,,,,,,,,,,,,,,,,+36 1 212 3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5105598,19.0315,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,5548478451,OSM_object_type.node,8,0,2022-03-30 09:04:40.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '54', 'addr:postcode': '1027', 'addr:street': 'Margit körút', 'amenity': 'pharmacy', 'contact:email': 'gloria@medex.hu', 'contact:phone': '+36 1 201 3407;+36 1 212 3881', 'contact:website': 'http://gloriagyogyszertar.hu', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': 'Glória gyógyszertár', 'opening_hours': 'Mo-Fr 08:00-20:00; Sa 08:00-13:00'}",,4.71568786,False
8888,3651,28,Aelia Sabina Gyógyszertár,,37.0,1031,Budapest,Torma Károly utca,19-20,,POINT (47.56997 19.0498),,,,,,,,,,,,,,,,,,,+36 1 242 7940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.56997,19.0498,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
8889,3927,28,Pacsirta Patika,,42.0,1036,Budapest,Pacsirtamező utca,49,,POINT (47.53756 19.04069),,,,,,,,,,,,,,,,,,,+36 1 388 7144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5375369,19.0407806,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,3920369014,OSM_object_type.node,3,0,2022-04-09 18:36:00.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '49', 'addr:postcode': '1036', 'addr:street': 'Pacsirtamező utca', 'amenity': 'pharmacy', 'contact:phone': '+36 1 388 7144', 'healthcare': 'pharmacy', 'name': 'Pacsirta Patika', 'operator': 'Pacsirta Patika Bt'}",,0,False
8890,3770,28,Ezüsthegy Gyógyszertár,,45.0,1039,Budapest,Pablo Neruda utca,1,,POINT (47.59681 19.04995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5967333,19.0496496,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,1243092885,OSM_object_type.node,5,0,2022-04-04 07:01:59.000000,"{'addr:city': 'Budapest', 'addr:country': 'HU', 'addr:housenumber': '1-2', 'addr:postcode': '1039', 'addr:street': 'Pablo Neruda utca', 'amenity': 'pharmacy', 'contact:email': 'info@ezusthegypatika.t-online.hu', 'contact:phone': '+36 1 243 0538', 'contact:website': 'http://www.ezusthegybudapest.novodata.hu/', 'healthcare': 'pharmacy', 'name': 'Ezüsthegy Gyógyszertár', 'opening_hours': 'Mo-Fr 08:00-19:00; Sa 08:00-13:00'}",,0,False
8891,3892,28,Kulcspatika Víztorony Gyógyszertár,,47.0,1042,Budapest,Árpád út,183-185,,POINT (47.56176 19.1069),,,,,,,,,,,,,,,,,,,+36 1 272 0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.56176,19.1069,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
8892,3985,28,Szent Borbála Gyógyszertár,,47.0,1042,Budapest,Rózsa utca,16,,POINT (47.55741 19.10008),,,,,,,,,,,,,,,,,,,+36 1 369 4460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5573847,19.1000882,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,2555992832,OSM_object_type.node,8,0,2021-02-28 15:10:56.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '16', 'addr:postcode': '1042', 'addr:street': 'Rózsa utca', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Szent Borbála Gyógyszertár', 'opening_hours': 'Mo-Fr 08:00-20:00; Sa 08:00-13:00', 'phone': '+36 1 369 4460', 'wheelchair': 'yes'}",,2.87974375,False
8893,3913,28,Nádor Gyógyszertár,,51.0,1047,Budapest,Nádor utca,2,,POINT (47.56581 19.08802),,,,,,,,,,,,,,,,,,,+36 1 369 2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.56581,19.08802,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
8894,3896,28,Lipótvárosi Patika Gyógyszertár,,54.0,1051,Budapest,Hercegprímás utca,13,,POINT (47.50205 19.053),,,,,,,,,,,,,,,,,,,+36 20 464 0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.50205,19.053,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
8895,3997,28,Szent István Patika,,58.0,1055,Budapest,Szent István körút,7,,POINT (47.5123 19.04965),,,,,,,,,,,,,,,,,,,+36 1 332 6920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5123,19.04965,2023-03-06 20:11:39.461916+00:00,,,28,Kulcs Patika,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Kulcs Patikák', 'dispensing': 'yes', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
