,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
9092,1988,29,,,95.0,1103,Budapest,Sibrik Miklós út,,,POINT (47.4672 19.15359),Sibrik - Gyömrői sarok,http://mpetrol.hu/hirek/32-uj-toltoallomas-a-halozatban-megnyitottunk-budapest-x-kerulet-sibrik-gyomroi-sarok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.4672,19.15359,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9093,1992,29,,,98.0,1106,Budapest,Jászberényi út,53,,POINT (47.48648 19.18488),Jászberényi út 53.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.48648,19.18488,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9094,1990,29,,,162.0,1194,Budapest,Citroën utca,2,,POINT (47.43831 19.14298),Citroen utca 2.,,,,,,,,,,,,,,,,,,+36 20 578 4287,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.43831,19.14298,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9095,1998,29,,,608.0,2030,Érd,Erika utca,1,,POINT (47.3785 18.9341),Erika u.1.,http://mpetrol.hu/hirek/45-uj-toltoallomas-a-burger-kinggel-kozosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.3785,18.9341,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9096,1975,29,,,716.0,2191,Bag,M3 autópálya,39,,POINT (47.63339 19.47216),M3 autópálya 39. km lehajtó (Ipari Park),/hirek/35-uj-toltoallomas-nyilt-bagon2,,,,,,,,,,,,,,,,,+36 20 368 8004,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.63339,19.47216,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9097,2001,29,,,780.0,2360,Gyál,,,,POINT (47.3584 19.20036),M5 Gyál-Alsónémedi lehajtó,http://mpetrol.hu/hirek/21-varja-ont-az-elso-m-petrol-gasztrokut-gyalon,,,,,,,,,,,,,,,,,+36 30 630 3774,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.3584,19.20036,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9098,1973,29,,,1029.0,2881,Ászár,Győri út,42,,POINT (47.51269 17.99778),Győri út 42.sz.,,,,,,,,,,,,,,,,,,+36 70 226 9976,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 06:00-21:00; PH off,47.51269,17.99778,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9099,2023,29,,,1047.0,2900,Komárom,Igmándi út,,,POINT (47.71893 18.11548),Igmándi út,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.71893,18.11548,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9100,2015,29,,,1181.0,3200,Gyöngyös,"7400 Kaposvár, Árpád út",33-35,,POINT (47.76696 19.91066),"7400 Kaposvár, Árpád út 33-35.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.76696,19.91066,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
9101,2003,29,,,1181.0,3200,Gyöngyös,Budapesti út 3 sz. számú főközlekedési út,,,POINT (47.76699 19.91285),Budapesti út 3 sz. főút,,,,,,,,,,,,,,,,,,+36 37 304 033,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,24/7,47.76699,19.91285,2023-03-06 20:11:36.514242+00:00,,,29,Mobil Petrol,fuel,"{'amenity': 'fuel', 'brand': 'Mobil Petrol', 'contact:email': 'info@mpetrol.hu', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'name': 'Mobil Petrol', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'operator': 'MPH Power Zrt.', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,False,,,,,,,,,2023-03-07 20:36:30.426793,,,,True
