,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_good,poi_bad,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
1682,5388,14,Budapest 1. számú posta,194,1250,Budapest,Dísz tér,15,,POINT (47.49908 19.03584),Dísz tér 15,,,,,,,,,,,,,,,,,+36 1 375 5850,Budapest1postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.4990888,19.0358261,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,527016462,OSM_object_type.node,9,0,2020-05-13T11:36:15Z,"{'addr:street': 'Dísz tér', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1250', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-16:00', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref': '1', 'branch': 'Budapest 1. számú posta', 'operator': 'Magyar Posta Zrt.', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '15', 'addr:city': 'Budapest', 'contact:phone': '+36 1 3755850; +36 1 3562175; +36 1 2140537', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-05-04'}",,0,
1683,5389,14,Budapest 114. számú posta 11. számú kirendeltség,195,1251,Budapest,Fő utca,4,,POINT (47.49884 19.04013),Fő utca 4,,,,,,,,,,,,,,,,,+36 1 201 7391,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.4988002,19.0401547,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,620528246,OSM_object_type.node,4,0,2020-04-30T06:09:57Z,"{'addr:street': 'Fő utca', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1251', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-16:00', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 114. számú posta 11. számú kirendeltség', 'operator': 'Magyar Posta Zrt.', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '4', 'addr:city': 'Budapest', 'contact:phone': '+36 1 201 7391', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1684,5390,14,Budapest 12. számú posta,196,1252,Budapest,Déli pályaudvar,,,POINT (47.49997 19.02462),Déli pályaudvar ,,,,,,,,,,,,,,,,,+36 1 212 3801,Budapest12postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,{not_in_water},"{street_is_not_around,street_metaphone_is_not_around}",,2020-10-13 15:25:00.339169+00:00,,,47.5002707,19.0248568,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,412953473,OSM_object_type.node,7,0,2020-04-29T16:41:38Z,"{'addr:street': 'Déli pályaudvar', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1252', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'level': '0', 'contact:email': 'ugyfelszolgalat@posta.hu', 'is_in': 'Déli pályaudvar', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 12. számú posta', 'operator': 'Magyar Posta Zrt.', 'wheelchair': 'limited', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:city': 'Budapest', 'contact:phone': '+36 1 212 3801', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,37.87394792,
1685,5725,14,Budapest 13. számú posta,197,1253,Budapest,Pauler utca,3,,POINT (47.49723 19.03291),Pauler utca 3,,,,,,,,,,,,,,,,,+36 1 375 8682,Budapest13postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.4972164,19.0330509,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,1815568369,OSM_object_type.node,3,0,2020-04-30T06:09:57Z,"{'addr:street': 'Pauler utca', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1253', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Th 08:00-18:00; Fr 08:00-17:30', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 13. számú posta', 'operator': 'Magyar Posta Zrt.', 'wheelchair': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '3', 'addr:city': 'Budapest', 'contact:phone': '+36 1 375 8682', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1686,5391,14,Budapest 15. számú posta,198,1255,Budapest,Batthyány utca,1,,POINT (47.50705 19.03799),Batthyány utca 1,,,,,,,,,,,,,,,,,+36 1 201 7681,Budapest15postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,16:00:00,16:00:00,16:00:00,16:00:00,16:00:00,,,,,,,,,,,,,,,,,12:00:00,12:30:00,False,"Mo-Fr 08:00-12:00,12:30-16:00; PH off","{not_in_water,street_is_around,street_metaphone_is_around,standard_opening_hours}",{},,2020-10-13 15:25:00.339169+00:00,,,47.5070338,19.0380298,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,593337231,OSM_object_type.node,8,0,2020-06-22T20:19:22Z,"{'opening_hours:covid19': 'Mo-Fr 08:00-12:00,12:30-16:00; PH off', 'addr:street': 'Batthyány utca', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1255', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-12:00', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'architect': 'Vermes Zoltán okl.építészmérnök', 'contact:website:2': 'https://www.posta.hu/szolgaltatasok/szolgaltataskereso?ln=hu&searchField=v%C3%A1ros,c%C3%ADm,n%C3%A9v&searchText=F%C5%91%20utca', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 15. számú posta', 'operator': 'Magyar Posta Zrt.', 'wheelchair': 'no', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '1', 'addr:city': 'Budapest', 'contact:phone': '+36 1 201 7681', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1687,5711,14,Budapest 18. számú posta,199,1258,Budapest,Vérmező út,8,,POINT (47.50689 19.02577),Vérmező út 8,,,,,,,,,,,,,,,,,+36 1 212 1938,Budapest18postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,15:30:00,15:30:00,15:30:00,15:30:00,15:30:00,,,,,,,,,,,,,,,,,12:00:00,12:30:00,False,"Mo-Fr 08:00-12:00,12:30-15:30; PH off","{not_in_water,street_is_around,street_metaphone_is_around,standard_opening_hours}",{},,2020-10-13 15:25:00.339169+00:00,,,47.5067694,19.0258128,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,2579839764,OSM_object_type.node,5,0,2020-04-29T16:41:38Z,"{'addr:street': 'Vérmező út', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1258', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-12:00, 12:30-15:30', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 18. számú posta', 'operator': 'Magyar Posta Zrt.', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '8', 'addr:city': 'Budapest', 'contact:phone': '+36 1 212 1938', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1688,5723,14,Budapest 23. számú posta,201,1277,Budapest,Török utca,2,,POINT (47.51459 19.03572),Török utca 2,,,,,,,,,,,,,,,,,+36 1 212 4170,Budapest23postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.5146703,19.0356762,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,367713140,OSM_object_type.node,9,0,2020-04-29T16:41:38Z,"{'addr:street': 'Török utca', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1277', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'toilets:wheelchair': 'no', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 23. számú posta', 'operator': 'Magyar Posta Zrt.', 'wheelchair': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '2', 'addr:city': 'Budapest', 'contact:phone': '+36 1 212 4170', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1689,5392,14,Budapest 25. számú posta,202,1279,Budapest,Gábor Áron utca,74-78/A,,POINT (47.5223 19.01488),Gábor Áron utca 74-78/A,,,,,,,,,,,,,,,,,+36 1 235 2807,Budapest25postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.522448,19.0148982,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,1559299162,OSM_object_type.node,8,0,2020-04-29T16:41:38Z,"{'addr:street': 'Gábor Áron utca', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1279', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-19:00; Sa 08:00-14:00', 'level': '-1', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 25. számú posta', 'operator': 'Magyar Posta Zrt.', 'wheelchair': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '74-78/A', 'addr:city': 'Budapest', 'contact:phone': '+36 1 235 2807', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1690,5393,14,Budapest 26. számú posta,203,1280,Budapest,Kelemen László utca,14/b,,POINT (47.5236 18.99284),Kelemen László utca 14/b,,,,,,,,,,,,,,,,,+36 1 200 0295,Budapest26postavezetes@iph.posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.5236402,18.9928607,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,354714608,OSM_object_type.node,6,0,2020-04-29T16:41:38Z,"{'addr:street': 'Kelemen László utca', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1280', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-18:00', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest 26. számú posta', 'operator': 'Magyar Posta Zrt.', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '14/b', 'addr:city': 'Budapest', 'contact:phone': '+36 1 200 0295', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-04-25'}",,0,
1691,5394,14,Budapest Hűvösvölgyi Szolgáltatóház posta,204,1281,Budapest,Hidegkúti út,1,,POINT (47.54462 18.96334),Hidegkúti út 1,,,,,,,,,,,,,,,,,,budapest27postavezetes@posta.hu,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,,,,,,,,,,,,,,,,,False,,"{not_in_water,street_is_around,street_metaphone_is_around}",{},,2020-10-13 15:25:00.339169+00:00,,,47.5445712,18.9632419,14,Posta,post_office,"{'amenity': 'post_office', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'phone': '+3617678200', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapo,posta,False,True,2000.0,350.0,220.0,366357395,OSM_object_type.node,11,0,2020-05-13T11:36:15Z,"{'opening_hours:covid19': 'Mo-Fr 08:00-18:00', 'addr:street': 'Hidegkúti út', 'ref:vatin:hu': '10901232-2-44', 'addr:postcode': '1281', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:website': 'https://www.posta.hu', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'opening_hours': 'Mo-Fr 08:00-19:00, Sa 09:00-13:00', 'level': '1', 'contact:email': 'ugyfelszolgalat@posta.hu', 'ref:vatin': 'HU10901232', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'payment:cash': 'yes', 'name': 'Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614', 'branch': 'Budapest Hűvösvölgyi Szolgáltatóház posta', 'operator': 'Magyar Posta Zrt.', 'wheelchair': 'no', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'addr:housenumber': '1', 'addr:city': 'Budapest', 'website': 'http://www.huvosvolgyhaz.hu/posta/', 'contact:phone': '+3617678200', 'payment:debit_cards': 'yes', 'brand': 'Magyar Posta', 'source:www.posta.hu:date': '2020-05-04'}",,0,
