,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
11050,7065,41,,,34.0,1027,Budapest,Margit körút,3,,POINT (47.514758 19.037654),1027 Budapest Margit körút 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,19:00:00,18:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00; PH off,47.5147877,19.0375006,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,1350643042,OSM_object_type.node,9,0,2022-03-30 09:01:53.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '3', 'addr:postcode': '1027', 'addr:street': 'Margit körút', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00', 'shop': 'chemist', 'toilets:wheelchair': 'no', 'wheelchair': 'yes'}",,0,False
11051,7496,41,,,35.0,1028,Budapest,Hidegkúti út,163,,POINT (47.5630835 18.9625449),1028 Budapest Hidegkúti utca 163.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,16:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 08:00-16:00; PH off,47.5630006,18.9624641,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,3046932332,OSM_object_type.node,5,0,2021-02-07 23:12:31.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '163', 'addr:postcode': '1028', 'addr:street': 'Hidegkúti út', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-19:00, Sa 08:00-16:00', 'shop': 'chemist', 'wheelchair': 'yes'}",,0,False
11052,7235,41,,,41.0,1035,Budapest,Flórián tér,6-9,,POINT (47.5421722 19.0401855),1035 Budapest Flórián tér 6-9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 08:00-16:00; PH off,47.5426282,19.040419,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,4377904093,OSM_object_type.node,5,0,2022-04-09 18:36:00.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '6-9', 'addr:postcode': '1033', 'addr:street': 'Flórián tér', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 08:00-16:00', 'shop': 'chemist'}",,0,False
11053,7582,41,,,42.0,1036,Budapest,Bécsi út,38-44,,POINT (47.5286571 19.0376089),1036 Budapest Bécsi út 38-44.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,17:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 08:00-17:00; Su 09:00-16:00; PH off,47.5282851,19.0375088,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,4069171854,OSM_object_type.node,8,0,2022-11-28 14:39:50.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '38-44', 'addr:postcode': '1036', 'addr:street': 'Bécsi út', 'air_conditioning': 'yes', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu/', 'contact:instagram': 'https://www.instagram.com/rossmannhungary/', 'contact:website': 'https://shop.rossmann.hu/', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-19:00; Sa 08:00-17:00; Su 09:00-16:00', 'operator': 'ROSSMANN Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'ref': '230', 'ref:HU:company': '13-09-088090', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'shop': 'chemist'}",,0,False
11054,7259,41,,,47.0,1042,Budapest,Árpád út,68,,POINT (47.5606803 19.0885288),1042 Budapest Árpád út 68.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,16:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 08:00-16:00; PH off,47.5607188,19.0884053,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,4222647491,OSM_object_type.node,5,0,2021-02-28 15:10:56.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '68', 'addr:postcode': '1042', 'addr:street': 'Árpád út', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-19:00; Sa 09:00-16:00', 'shop': 'chemist', 'website': 'https://www.rossmann.hu/uzletkereso'}",,0,False
11055,7594,41,,,51.0,1046,Budapest,Corvin utca,14,,POINT (47.5662793 19.0977027),1046 Budapest Corvin utca 14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,19:00:00,18:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 08:00-18:00; PH off,47.5662795,19.0976261,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,3459902114,OSM_object_type.node,13,0,2022-08-05 12:53:10.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '14', 'addr:postcode': '1041', 'addr:street': 'Corvin utca', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'check_date:opening_hours': '2022-08-05', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 08:00-18:00', 'shop': 'chemist', 'website': 'https://www.rossmann.hu/', 'wheelchair': 'yes'}",,0,False
11056,7248,41,,,53.0,1048,Budapest,Óceánárok utca,3-5,,POINT (47.5786354 19.1147532),1048 Budapest Óceánárok utca 3-5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,14:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 08:00-14:00; PH off,47.5790636,19.114618076442376,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,416176204,OSM_object_type.way,5,0,2022-04-17 08:41:27.000000,"{'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'building': 'yes', 'name': 'Rossmann', 'shop': 'chemist', 'toilets:wheelchair': 'yes', 'wheelchair': 'yes'}","[4170095689, 4170095690, 1492497430, 4582786985, 4170095689]",27.69188945,False
11057,7476,41,,,61.0,1062,Budapest,"Westend, Váci út",1-3,,POINT (47.5138536 19.0592581),"1062 Budapest Westend, Váci út 1-3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 09:00-21:00; Su 09:00-20:00; PH off,47.5138536,19.0592581,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,,,,,2023-03-07 20:36:30.426793,,,,True
11058,7175,41,,,65.0,1066,Budapest,Teréz körút,46,,POINT (47.5079732 19.0589334),1066 Budapest Teréz körút 46.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-20:00; Sa 08:00-18:00; PH off,47.5079732,19.0589334,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,,,,,2023-03-07 20:36:30.426793,,,,True
11059,7462,41,,,66.0,1067,Budapest,Teréz körút,19,,POINT (47.5057409 19.0630347),1067 Budapest Teréz körút 19.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 09:00-16:00; PH off,47.5058214,19.0629815,2023-03-06 20:11:45.848906+00:00,,,41,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'ref:HU:vatin': '11149769-2-44', 'ref:vatin': 'HU11149769', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,False,2000.0,200.0,3.0,,729100866,OSM_object_type.node,11,0,2022-03-30 09:21:59.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '19', 'addr:postcode': '1067', 'addr:street': 'Teréz körút', 'brand': 'Rossmann', 'brand:wikidata': 'Q316004', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'name': 'Rossmann', 'opening_hours': 'Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 09:00-16:00', 'shop': 'chemist', 'wheelchair': 'yes'}",,0,False
